Time:			Temperature (C):	Altitude (m):	Pressure (psi):	
2014 01 14::01:04:11:544	-112.15595	00694.78595	00050.14359
2014 01 14::01:04:11:794	-111.64801	01765.30096	00050.31793
2014 01 14::01:04:12:044	-111.13241	01990.93014	00050.71190
2014 01 14::01:04:12:295	-110.24864	03114.80180	00050.82830
2014 01 14::01:04:12:545	-109.96556	03354.20231	00051.23815
2014 01 14::01:04:12:795	-107.41778	03438.21174	00051.28196
2014 01 14::01:04:13:046	-104.75765	03984.88296	00051.39750
2014 01 14::01:04:13:297	-101.49395	04181.74341	00051.56296
2014 01 14::01:04:13:548	-101.24813	04274.15190	00051.68162 *
2014 01 14::01:04:13:798	-099.43021	04707.02311	00051.80027
2014 01 14::01:04:14:048	-098.25253	05060.35978	00051.88341
2014 01 14::01:04:14:298	-093.52630	05189.53683	00052.14865
2014 01 14::01:04:14:548	-093.36643	06267.08919	00052.72670 *
2014 01 14::01:04:14:798	-092.99585	06500.41472	00053.30475
2014 01 14::01:04:15:049	-090.32407	06628.87368	00053.40430
2014 01 14::01:04:15:299	-090.27194	06906.91550	00053.59414
2014 01 14::01:04:15:549	-089.10333	07167.38464	00053.75891
2014 01 14::01:04:15:799	-087.65629	07207.63085	00054.05207
2014 01 14::01:04:16:049	-087.51116	07387.70669	00054.38494
2014 01 14::01:04:16:299	-086.50632	07874.76238	00054.47853
2014 01 14::01:04:16:550	-086.42935	08279.34251	00054.92864
2014 01 14::01:04:16:800	-085.41023	08308.76395	00054.98360
2014 01 14::01:04:17:051	-085.17425	08995.62857	00055.72283
2014 01 14::01:04:17:301	-085.12897	09195.42179	00055.95592
2014 01 14::01:04:17:551	-084.48895	09278.88864	00056.20029
2014 01 14::01:04:17:801	-082.43373	09835.87828	00056.46316
2014 01 14::01:04:18:052	-080.27399	09996.33133	00056.67214
2014 01 14::01:04:18:302	-080.22134	10007.53013	00057.17712
2014 01 14::01:04:18:552	-078.36369	10667.75698	00057.58927
2014 01 14::01:04:18:803	-076.72916	10821.93678	00057.77977
2014 01 14::01:04:19:053	-076.36618	11301.17228	00057.87549
2014 01 14::01:04:19:303	-074.98421	11351.34833	00058.67585
2014 01 14::01:04:19:553	-073.74027	11505.71173	00058.80312
2014 01 14::01:04:19:803	-069.44933	11565.71138	00058.86358 *
2014 01 14::01:04:20:053	-069.34211	11856.98174	00058.92404
2014 01 14::01:04:20:303	-069.30180	12061.27236	00059.18026
2014 01 14::01:04:20:554	-068.53807	12859.90266	00059.50269
2014 01 14::01:04:20:804	-068.37802	12924.90629	00059.65826 *
2014 01 14::01:04:21:054	-068.29705	13552.22915	00059.81382
2014 01 14::01:04:21:304	-067.62879	13987.37002	00059.88974
2014 01 14::01:04:21:554	-064.06883	14150.41261	00060.37993
2014 01 14::01:04:21:805	-063.89394	14657.77372	00060.86608 *
2014 01 14::01:04:22:055	-063.73206	14819.43903	00061.35223
2014 01 14::01:04:22:305	-060.44342	15252.15967	00061.37472
2014 01 14::01:04:22:555	-060.02930	15634.07867	00061.65362
2014 01 14::01:04:22:805	-053.46817	15658.66351	00062.20168
2014 01 14::01:04:23:055	-053.30668	16018.23727	00062.28256
2014 01 14::01:04:23:305	-052.67792	16409.19184	00062.95372 *
2014 01 14::01:04:23:555	-051.87022	16660.87038	00062.95372 *
2014 01 14::01:04:23:805	-051.47451	16747.71149	00063.62487
2014 01 14::01:04:24:055	-050.32768	16924.96462	00064.36525
2014 01 14::01:04:24:305	-048.54621	17062.95115	00064.40056
2014 01 14::01:04:24:556	-046.90773	17098.39140	00064.40401
2014 01 14::01:04:24:807	-046.79571	18538.27107	00064.60122
2014 01 14::01:04:25:057	-045.05541	18629.15180	00065.36849 *
2014 01 14::01:04:25:308	-043.08362	19350.86386	00066.13575
2014 01 14::01:04:25:558	-042.34696	19386.38931	00066.69061
2014 01 14::01:04:25:808	-040.03505	19424.76825	00066.86700
2014 01 14::01:04:26:059	-039.29211	20206.02294	00067.87370
2014 01 14::01:04:26:309	-037.30930	20352.67769	00068.33342
2014 01 14::01:04:26:559	-034.45076	20370.44680	00068.74116
2014 01 14::01:04:26:809	-034.15456	20405.57031	00069.48882
2014 01 14::01:04:27:059	-030.51542	20573.17673	00069.66595
2014 01 14::01:04:27:309	-029.58453	20582.02301	00069.73458
2014 01 14::01:04:27:560	-028.25729	20605.55207	00070.35280
2014 01 14::01:04:27:810	-027.98389	21547.22450	00070.88406
2014 01 14::01:04:28:060	-027.28050	21820.21543	00071.13435
2014 01 14::01:04:28:310	-027.05186	22123.49580	00071.23556
2014 01 14::01:04:28:560	-024.86811	22203.15524	00071.75847 *
2014 01 14::01:04:28:810	-024.16556	22561.86210	00072.28139
2014 01 14::01:04:29:060	-021.15709	22969.53468	00072.36851
2014 01 14::01:04:29:310	-021.10606	22981.08937	00072.43834
2014 01 14::01:04:29:560	-020.37492	23455.05666	00072.87315
2014 01 14::01:04:29:811	-017.83687	23906.08690	00073.05554 *
2014 01 14::01:04:30:061	-017.45654	24046.54417	00073.23793
2014 01 14::01:04:30:311	-016.54613	24056.48033	00073.46608
2014 01 14::01:04:30:561	-013.41628	24108.26638	00073.52274
2014 01 14::01:04:30:812	-013.28222	24331.91916	00073.72861
2014 01 14::01:04:31:062	-011.43866	24348.81051	00074.02909
2014 01 14::01:04:31:312	-009.21928	24569.32951	00074.04546
2014 01 14::01:04:31:562	-008.39873	24601.17919	00074.35349
2014 01 14::01:04:31:812	-008.21534	24918.74048	00075.00562
2014 01 14::01:04:32:062	-007.02845	25175.19796	00075.16140 *
2014 01 14::01:04:32:313	-005.76149	25186.63947	00075.31717
2014 01 14::01:04:32:563	-005.17614	25772.97785	00075.45234
2014 01 14::01:04:32:813	-004.11294	25854.30412	00075.45244
2014 01 14::01:04:33:064	000.79717	25889.38686	00075.52943
2014 01 14::01:04:33:314	001.38579	26926.58631	00076.08575 *
2014 01 14::01:04:33:564	002.99585	27185.03562	00076.64207
2014 01 14::01:04:33:815	004.96832	27583.98996	00076.66965
2014 01 14::01:04:34:065	005.38940	27637.93730	00076.76768
2014 01 14::01:04:34:315	006.28644	28354.17474	00076.98630
2014 01 14::01:04:34:565	008.77747	28937.95663	00077.52150
2014 01 14::01:04:34:815	009.16028	29497.08166	00077.64513
2014 01 14::01:04:35:065	010.25116	29559.20597	00077.66271
2014 01 14::01:04:35:315	015.37233	29753.15519	00077.71095
2014 01 14::01:04:35:565	016.40046	29866.30614	00078.49934
2014 01 14::01:04:35:815	021.27850	29977.77614	00079.13014
2014 01 14::01:04:36:065	023.50627	30409.85931	00079.72476
