Time:			Temperature (C):	Altitude (m):	Pressure (psi):	
2014 01 14::11:47:50:519	-141.16070	13188.26473	00055.51911
2014 01 14::11:47:51:020	-129.62265	13266.37564	00055.65648
2014 01 14::11:47:51:520	-129.04808	13866.60939	00055.71641
2014 01 14::11:47:52:020	-128.86012	13888.62388	00056.35755
2014 01 14::11:47:52:521	-124.49168	14448.25173	00056.42527 *
2014 01 14::11:47:53:021	-123.51992	15797.55621	00056.49298
2014 01 14::11:47:53:521	-123.06326	19781.80390	00057.16390
2014 01 14::11:47:54:021	-115.32577	25607.58483	00057.36652
2014 01 14::11:47:54:522	-112.91851	28377.70656	00057.84792
2014 01 14::11:47:55:022	-099.76686	29048.04923	00058.03679
2014 01 14::11:47:55:523	-097.85230	31488.53569	00058.63222
2014 01 14::11:47:56:023	-097.67624	35064.36835	00058.83584
2014 01 14::11:47:56:523	-096.25128	35717.15372	00059.67941
2014 01 14::11:47:57:023	-095.23479	36406.25570	00060.73620
2014 01 14::11:47:57:524	-087.99980	38816.80987	00060.82621
2014 01 14::11:47:58:024	-086.84597	42067.89903	00061.26840
2014 01 14::11:47:58:524	-081.00565	43391.38496	00061.50650
2014 01 14::11:47:59:024	-080.77924	45125.35440	00062.25209
2014 01 14::11:47:59:524	-076.89343	48356.88026	00063.13627
2014 01 14::11:48:00:025	-073.97460	48527.28300	00063.42232
2014 01 14::11:48:00:526	-067.37720	49201.91998	00063.72457
2014 01 14::11:48:01:026	-053.04000	51386.03827	00063.79526
2014 01 14::11:48:01:527	-052.46510	51615.99943	00063.84319
2014 01 14::11:48:02:027	-047.00480	57350.87842	00064.03250
2014 01 14::11:48:02:527	-045.31821	59989.83987	00064.10793
2014 01 14::11:48:03:027	-044.89220	61157.37155	00064.92936
2014 01 14::11:48:03:527	-036.81339	62711.69575	00065.27451
2014 01 14::11:48:04:028	-032.47846	62802.25888	00065.47198
2014 01 14::11:48:04:528	-029.16975	65138.38666	00065.51506
2014 01 14::11:48:05:029	-021.04202	65599.92018	00066.39136 *
2014 01 14::11:48:05:530	-015.01564	68493.91569	00067.26766
2014 01 14::11:48:06:030	-013.29288	68900.51177	00067.61460
2014 01 14::11:48:06:530	-011.66092	69470.49727	00068.17079 *
2014 01 14::11:48:07:030	-002.72134	69540.91876	00068.72697
2014 01 14::11:48:07:531	003.37988	70306.74479	00070.86708
2014 01 14::11:48:08:031	005.05573	75567.40407	00071.90687
2014 01 14::11:48:08:531	011.98104	76530.30961	00072.37195
2014 01 14::11:48:09:032	026.54549	79625.30391	00072.55937
2014 01 14::11:48:09:532	036.50611	79807.96781	00073.65082
2014 01 14::11:48:10:032	039.87937	80196.67243	00073.65908
2014 01 14::11:48:10:532	041.27844	81944.04883	00073.89030
2014 01 14::11:48:11:032	041.33348	82019.23364	00074.43351
2014 01 14::11:48:11:533	042.83406	82249.05882	00075.03019
2014 01 14::11:48:12:033	043.02934	86864.27952	00075.94080
2014 01 14::11:48:12:533	048.52246	90564.50461	00076.16852
2014 01 14::11:48:13:033	053.63516	91018.17805	00076.27690
2014 01 14::11:48:13:534	054.10264	92100.21124	00076.43638
2014 01 14::11:48:14:035	064.37470	92263.94477	00076.53446
2014 01 14::11:48:14:535	065.42921	93041.00387	00077.78089 *
2014 01 14::11:48:15:036	065.46582	96407.05584	00079.02732
2014 01 14::11:48:15:536	066.46574	96883.37306	00079.19870
2014 01 14::11:48:16:036	074.61814	98693.45634	00079.26892
